,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
17539,The Chaos Engine (2013),PC,2013-08-29,40,7.6,AbstractionGames,"Action,Shooter,Shooter,Third-Person,Shoot-'Em-Up,Sci-Fi,Sci-Fi,Top-Down",No info,7,26
16803,Pokemon Rumble U,WiiU,2013-08-29,49,5.2,Ambrella,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,22,84
15559,Guardians of Middle-Earth,PC,2013-08-29,56,6.0,MonolithProductions,"Strategy,Real-Time,MOBA,MOBA",No info,12,108
4755,Memoria (2013),PC,2013-08-29,79,8.1,DaedalicEntertainment,"Adventure,General,General,Point-and-Click",No Online Multiplayer,43,149
17474,Arcania: The Complete Tale,PlayStation3,2013-08-30,42,4.6,Spellbound,"PC-style RPG,Western-Style,Role-Playing,General,Action RPG",No Online Multiplayer,15,22
6423,Total War: Rome II,PC,2013-09-02,76,4.3,CreativeAssembly,"Strategy,Real-Time,Historic,General,Historic",No info,71,3905
7288,Dead or Alive 5 Ultimate,Xbox360,2013-09-03,75,7.5,TeamNinja,"Action,Fighting,Fighting,3D,3D",No info,10,32
1038,Rayman Legends,PlayStationVita,2013-09-03,87,8.4,UbisoftMontpellier,"Action,Platformer,Platformer,2D,2D",2 ,8,186
9500,One Piece: Pirate Warriors 2,PlayStation3,2013-09-03,71,7.8,OmegaForce,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",2 ,35,71
511,Rayman Legends,Xbox360,2013-09-03,90,8.2,UbisoftMontpellier,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,35,250
11759,KickBeat,PlayStationVita,2013-09-03,67,7.3,ZenStudios,"Action,Miscellaneous,Rhythm,Music,Music",No info,20,30
1736,Brothers: A Tale of Two Sons,PlayStation3,2013-09-03,85,8.6,Starbreeze,"Action Adventure,Fantasy,Fantasy,Linear",No info,15,312
1382,Diablo III,PlayStation3,2013-09-03,86,6.4,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 ,43,577
261,Rayman Legends,WiiU,2013-09-03,92,8.7,UbisoftMontpellier,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,35,539
359,Rayman Legends,PlayStation3,2013-09-03,91,8.7,UbisoftMontpellier,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,23,361
9109,Disney Castle of Illusion starring Mickey Mouse,PlayStation3,2013-09-03,72,7.3,Sega,"Action,Platformer,Platformer,2D,2D",No info,8,70
485,Brothers: A Tale of Two Sons,PC,2013-09-03,90,8.5,Starbreeze,"Action Adventure,Fantasy,Fantasy,Linear",No Online Multiplayer,9,1460
1132,Diablo III,Xbox360,2013-09-03,87,6.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 ,42,407
5716,Dead or Alive 5 Ultimate,PlayStation3,2013-09-03,77,8.1,TeamNinja,"Action,Fighting,Fighting,3D,3D",Up to 16 ,25,71
11704,Disney Castle of Illusion starring Mickey Mouse,Xbox360,2013-09-04,67,7.0,Sega,"Action,Platformer,Platformer,2D,2D",No info,26,65
8177,MirrorMoon EP,PC,2013-09-04,73,5.2,SantaRagione,"Miscellaneous,Puzzle,General,Puzzle,General",No info,9,21
3945,Outlast,PC,2013-09-04,80,8.3,RedBarrels,"Horror,Action Adventure,Horror,Survival",No Online Multiplayer,59,1619
6184,Dungeons & Dragons: Chronicles of Mystara,WiiU,2013-09-05,77,7.8,IronGalaxyStudios,"Action,Miscellaneous,Beat-'Em-Up,Compilation,Compilation",No info,7,22
10374,Starpoint Gemini 2,PC,2013-09-06,70,8.4,LittleGreenMen,"Strategy,Real-Time,Sci-Fi,General",No info,19,150
2546,Valdis Story: Abyssal City,PC,2013-09-08,83,7.7,EndlessFluff,"Action,Platformer,Platformer,2D,2D",No info,7,85
5650,Kingdom Hearts HD 1.5 ReMIX,PlayStation3,2013-09-10,77,8.8,SquareEnix,"Miscellaneous,Compilation,Compilation",No Online Multiplayer,49,507
3255,NHL 14,Xbox360,2013-09-10,81,6.0,ElectronicArts,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 12 ,30,96
9088,Amnesia: A Machine for Pigs,PC,2013-09-10,72,5.9,FrictionalGames,"Horror,Horror,Action Adventure,Survival",No Online Multiplayer,59,904
4116,NHL 14,PlayStation3,2013-09-10,80,6.1,ElectronicArts,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 12 ,22,83
4040,Puppeteer,PlayStation3,2013-09-10,80,8.4,SCEJapanStudio,"Action,Platformer,Platformer,3D,2D,3D",No Online Multiplayer,75,271
16683,Carnivores HD: Dinosaur Hunter,PlayStation3,2013-09-10,50,5.5,"VogsterEntertainment,LLC","Action,Shooter,General,Shooter,First-Person,Fantasy,Fantasy,Arcade",No info,8,34
5309,Killzone: Mercenary,PlayStationVita,2013-09-10,78,8.8,GuerillaCambridge,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Up to 8 ,86,593
10235,Disney DuckTales Remastered,Xbox360,2013-09-11,70,7.2,WayForward,"Action,Platformer,Platformer,2D,2D",No info,39,57
2444,Card Hunter (2013),PC,2013-09-12,83,7.7,BlueManchu,"Strategy,General",No info,18,62
8878,Aarklash: Legacy,PC,2013-09-12,72,7.7,"Cyanide,CyanideStudios","Strategy,Adventure,Real-Time,General,Tactics",No Online Multiplayer,13,106
13928,Legend of Dungeon,PC,2013-09-13,62,7.5,RobotLovesKitty,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,13,57
6527,Volgarr the Viking,PC,2013-09-13,76,7.7,CrazyVikingStudios,"Action,General,General",No Online Multiplayer,9,98
5293,The Wonderful 101,WiiU,2013-09-15,78,8.6,PlatinumGames,"Action,General,General",Online Multiplayer,75,541
10,Grand Theft Auto V,Xbox360,2013-09-17,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,58,3905
10892,Real Boxing,PlayStationVita,2013-09-17,69,6.8,VividGames,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2 ,17,16
9,Grand Theft Auto V,PlayStation3,2013-09-17,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,50,4568
11511,MechWarrior Online,PC,2013-09-17,68,5.3,PiranhaGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",No info,10,873
10544,Ironclad Tactics,PC,2013-09-18,69,7.2,ZachtronicsIndustries,"Strategy,General,General",No info,12,40
15166,Urban Trial Freestyle,PC,2013-09-18,58,6.8,TateMultimedia,"Driving,Racing,Arcade,Arcade,Automobile",No Online Multiplayer,9,29
10891,Foul Play,PC,2013-09-18,69,5.9,Mediatonic,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,9,30
10869,Foul Play,Xbox360,2013-09-18,69,6.0,Mediatonic,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,23,16
7439,Hakuoki: Memories of the Shinsengumi,3DS,2013-09-19,75,7.6,IdeaFactory,"General,Adventure,General,Visual Novel",No Online Multiplayer,12,19
10282,Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,PC,2013-09-19,70,7.0,PhoenixOnlineStudios,"Adventure,General,General,Point-and-Click",No info,11,22
11275,AiRace Speed,3DS,2013-09-19,68,7.6,QubicGames,"Driving,Racing,Arcade,Futuristic,Futuristic",No info,12,7
11312,Star Wars Pinball,3DS,2013-09-19,68,5.4,ZenStudios,"Action,Miscellaneous,Parlor,Pinball,Pinball",No info,10,11
6001,Angry Video Game Nerd Adventures,PC,2013-09-20,77,7.6,FreakZone,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,7,117
5998,Angry Video Game Nerd Adventures,PC,2013-09-20,77,7.6,FreakZone,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,7,117
12183,Marlow Briggs and the Mask of Death,Xbox360,2013-09-20,66,5.7,ZootFly,"Action,Action Adventure,General,General,Linear",No info,14,28
416,The Legend of Zelda: The Wind Waker HD,WiiU,2013-09-20,90,9.0,"Nintendo,HexaDrive","Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,70,1281
17782,Takedown: Red Sabre,PC,2013-09-20,34,3.0,SerellanLLC,"Action,Shooter,General,Shooter,First-Person,Modern,Tactical",No info,17,169
9625,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013-09-24,71,6.3,5THCell,"Puzzle,Action,Platformer,Platformer,2D,2D",1-4 ,17,40
4327,Pro Evolution Soccer 2014,Xbox360,2013-09-24,80,4.2,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,23,115
16442,Alien Rage,PC,2013-09-24,52,6.7,CIGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,27,174
3364,Lone Survivor: The Director's Cut,PlayStationVita,2013-09-24,81,8.0,"CurveStudios,superflatgames","Action Adventure,Horror,Horror,Survival",No info,18,65
2073,Lone Survivor: The Director's Cut,PlayStation3,2013-09-24,84,7.8,"CurveStudios,superflatgames","Action Adventure,Horror,Horror,Survival",No info,8,50
1403,FIFA 14,PlayStation3,2013-09-24,86,4.3,EACanada,"Ice Hockey,Sim,Sports,Traditional,Team,Soccer,Sim,Sim",Up to 22 ,37,593
11458,Scribblenauts Unmasked: A DC Comics Adventure,PC,2013-09-24,68,6.0,5THCell,"Puzzle,Action,Platformer,Platformer,2D,2D",No Online Multiplayer,14,47
11106,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013-09-24,68,6.3,5THCell,"Puzzle,Action,Platformer,Platformer,2D,2D",No info,7,23
12573,The Raven: Legacy of a Master Thief - A Murder of Ravens,PC,2013-09-24,65,4.5,KINGArt,"Adventure,General,General,Point-and-Click",No info,12,14
17768,Girl Fight,PlayStation3,2013-09-24,35,4.9,"MicroProse,KungFuFactory","Action,Fighting,Fighting,3D,3D",No info,11,14
12572,Armored Core: Verdict Day,Xbox360,2013-09-24,65,7.4,FromSoftware,"Simulation,Sci-Fi,Vehicle,Mech,Mech,Combat",Up to 10 ,8,13
12318,Armored Core: Verdict Day,PlayStation3,2013-09-24,66,7.8,FromSoftware,"Simulation,Sci-Fi,Vehicle,Mech,Mech,Combat",Up to 10 ,18,36
1186,Pac-Man Championship Edition DX +,PC,2013-09-24,86,7.5,NamcoBandaiGames,"Action,General,General,Arcade",No info,7,90
5532,Pro Evolution Soccer 2014,PlayStation3,2013-09-24,78,4.0,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,39,315
7417,Nihilumbra,PC,2013-09-24,75,6.5,"BEAUTIFUNGAMESSL,BeautiFunGames","Action,Adventure,General,General,Platformer,2D",No Online Multiplayer,11,65
2168,FIFA 14,Xbox360,2013-09-24,84,4.3,EACanada,"Ice Hockey,Sim,Sports,Traditional,Team,Soccer,Sim,Sim",Up to 22 ,41,447
17794,Girl Fight,Xbox360,2013-09-25,34,5.5,"MicroProse,KungFuFactory","Action,Fighting,Fighting,3D,3D",No info,9,19
8134,Shadow Warrior,PC,2013-09-26,73,8.0,FlyingWildHog,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",No Online Multiplayer,50,772
8949,Inazuma Eleven 3: Bomb Blast,3DS,2013-09-27,72,7.8,Level5,"Sports,Traditional,Soccer,Arcade",No info,18,25
12263,Rise of Venice,PC,2013-09-27,66,6.8,Kalypso,"Strategy,General,General",No info,17,82
10359,Inazuma Eleven 3: Lightning Bolt,3DS,2013-09-27,70,7.2,Level5,"Sports,Traditional,Soccer,Arcade",No info,19,11
9068,The Inner World,PC,2013-09-27,72,7.7,HeadupGames,"Adventure,General,General,Point-and-Click",No Online Multiplayer,18,63
7549,Atelier Meruru Plus: The Apprentice of Arland,PlayStationVita,2013-10-01,74,8.1,Gust,"Role-Playing,General,General,Japanese-Style",No Online Multiplayer,8,40
13799,War of the Vikings,PC,2013-10-01,62,6.2,FatsharkAB,"Action,General,General",No info,19,64
1164,NBA 2K14,Xbox360,2013-10-01,87,4.9,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 10 ,23,156
3934,Etrian Odyssey Untold: The Millennium Girl,3DS,2013-10-01,80,8.1,Atlus,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,41,101
9014,rain,PlayStation3,2013-10-01,72,7.8,SCEJapanStudio,"Miscellaneous,Action Adventure,Fantasy,General,General,Fantasy,Linear",No Online Multiplayer,77,178
1978,NBA 2K14,PlayStation3,2013-10-01,84,5.0,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 10 ,26,151
4178,Grand Theft Auto Online,Xbox360,2013-10-01,80,5.8,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No info,9,185
5456,Rune Factory 4,3DS,2013-10-01,78,8.2,Neverland,"Role-Playing,Strategy,Breeding/Constructing,General,Action RPG,Breeding/Constructing",No Online Multiplayer,33,148
13772,Skydive: Proximity Flight,PlayStation3,2013-10-01,62,0.0,GaijinEntertainment,"Sports,Alternative,Individual,Other,Other",No info,14,0
17412,Air Conflicts: Vietnam,PC,2013-10-02,43,2.9,"bitComposerGames,bitComposer","Action,Simulation,Flight,Flight,Combat",No info,9,27
12512,A.R.E.S. Extinction Agenda EX,Xbox360,2013-10-02,66,7.2,ORiGOGAMES,"Action,Platformer,Platformer,2D,3D,2D",No info,7,18
5722,F1 2013,PC,2013-10-03,77,6.8,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,18,160
12343,Picross e3,3DS,2013-10-03,66,7.0,JupiterCorporation,"Miscellaneous,Puzzle,Puzzle,Logic,Logic",No info,7,6
15535,Knock-knock,PC,2013-10-04,57,8.2,Ice-PickLodge,"General,Miscellaneous,Adventure,General",No Online Multiplayer,16,190
4966,F1 2013,Xbox360,2013-10-08,79,6.8,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,29,38
15140,Atomic Ninjas,PlayStation3,2013-10-08,58,5.6,GripGames,"Action,Platformer,Platformer,2D,2D",No info,8,11
7667,Disgaea D2: A Brighter Darkness,PlayStation3,2013-10-08,74,8.1,NipponIchiSoftware,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",No Online Multiplayer,37,65
8837,Just Dance 2014,WiiU,2013-10-08,72,7.6,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info,13,47
10321,Beyond: Two Souls,PlayStation3,2013-10-08,70,8.1,QuanticDream,"Adventure,3D,Modern,Third-Person,Modern",No Online Multiplayer,98,2808
8522,Gas Guzzlers Extreme,PC,2013-10-08,73,8.6,Gamepires,"Simulation,Driving,Car Combat,Vehicle,Combat",No info,9,153
11755,Worms Revolution Extreme,PlayStationVita,2013-10-08,67,6.6,Team17,"Strategy,Turn-Based,Fantasy,General,Fantasy",Up to 4 ,16,19
6112,F1 2013,PlayStation3,2013-10-08,77,6.4,CodemastersBirmingham,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,22,47
4737,Just Dance 2014,Xbox360,2013-10-08,79,7.8,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info,16,34
14185,Atomic Ninjas,PlayStationVita,2013-10-08,61,6.6,GripGames,"Action,Platformer,Platformer,2D,2D",No info,8,7
17580,Montague's Mount,PC,2013-10-09,39,5.0,PolypusherStudios,"Action Adventure,Horror,Horror",No info,21,40
16446,Aqua Moto Racing 3D,3DS,2013-10-10,52,0.0,Zordix,"Driving,Racing,Arcade,Arcade,Other",No info,8,0
1669,The Wolf Among Us: Episode 1 - Faith,PC,2013-10-11,85,8.9,TelltaleGames,"Action Adventure,Adventure,Fantasy,General,Fantasy,Point-and-Click",No Online Multiplayer,45,820
4384,The Wolf Among Us,PC,2013-10-11,80,8.8,TelltaleGames,"Action Adventure,Adventure,General,Fantasy,Point-and-Click",No info,13,725
3115,The Wolf Among Us: Episode 1 - Faith,Xbox360,2013-10-11,82,8.4,TelltaleGames,"Action Adventure,Adventure,Fantasy,General,Fantasy,Point-and-Click",No info,31,234
826,Pokemon Y,3DS,2013-10-12,88,7.5,GameFreak,"Role-Playing,Console-style RPG,Console-style RPG,Trainer",Up to 4 ,69,1243
960,Pokemon X,3DS,2013-10-12,87,7.5,GameFreak,"Role-Playing,Console-style RPG,Console-style RPG,Trainer",Up to 4 ,71,1349
2654,Skylanders Swap Force,Xbox360,2013-10-13,83,6.0,VicariousVisions,"Action,Platformer,Platformer,3D,3D",No info,37,46
537,Skylanders Swap Force,WiiU,2013-10-13,89,6.1,VicariousVisions,"Action,Platformer,Platformer,3D,3D",No info,7,105
11580,Skylanders Swap Force,3DS,2013-10-13,68,6.1,n-Space,"Action,Platformer,Platformer,3D,3D",No info,12,19
2529,Skylanders Swap Force,PlayStation3,2013-10-13,83,5.6,VicariousVisions,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,31,38
10310,Democracy 3,PC,2013-10-14,70,7.2,PositechGames,"Strategy,General,General",No Online Multiplayer,14,156
1493,The Wolf Among Us: Episode 1 - Faith,PlayStation3,2013-10-15,85,8.7,TelltaleGames,"Action Adventure,Adventure,Fantasy,General,Fantasy,Point-and-Click",No info,9,136
16917,Valhalla Knights 3,PlayStationVita,2013-10-15,48,6.9,K2,"Role-Playing,General,General,Action RPG",No info,19,56
787,Star Wars Pinball: Balance of the Force,Xbox360,2013-10-16,88,6.1,ZenStudios,"Action,Miscellaneous,Parlor,Pinball,Pinball",1 Player,10,8
852,The Stanley Parable,PC,2013-10-17,88,8.0,DaveyWreden,"Action,Adventure,General,General,3D,First-Person,Modern",No Online Multiplayer,47,2093
4006,Goodbye Deponia,PC,2013-10-17,80,7.8,DaedalicEntertainment,"Adventure,General,General",No Online Multiplayer,34,220
17061,HomeTown Story,3DS,2013-10-17,47,6.0,TOYBOX,"Simulation,General,General",No Online Multiplayer,14,25
17131,Alien Rage,Xbox360,2013-10-18,46,7.6,CIGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,10,36
5919,Eldritch,PC,2013-10-21,77,6.6,MinorKeyGames,"Action,General,General",1 Player,14,49
13727,Warface,PC,2013-10-21,62,4.2,Crytek,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Online Multiplayer,17,500
11602,Saints Row IV: Enter the Dominatrix,Xbox360,2013-10-22,68,6.5,VolitionInc.,"Action Adventure,Modern,Modern,Open-World",1 Player,10,12
9262,Tetrobot and Co.,PC,2013-10-22,72,7.6,SwingSwingSubmarine,"Miscellaneous,Puzzle,Action,Platformer,2D",No info,7,20
8260,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PlayStation3,2013-10-22,73,7.6,"CyberConnect2,NamcoBandaiGames","Action,Fighting,Fighting,3D,3D",Up to 8 ,16,51
728,Deus Ex: Human Revolution - Director's Cut,WiiU,2013-10-22,88,8.5,"EidosMontreal,StraightRight","Action Adventure,Sci-Fi,Sci-Fi,General",1 Player,30,201
2762,LEGO Marvel Super Heroes,WiiU,2013-10-22,82,8.0,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,8,79
1399,Rocksmith 2014 Edition,PlayStation3,2013-10-22,86,8.2,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,14,50
4103,The Sims 3: Into the Future,PC,2013-10-22,80,5.6,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No info,9,47
925,Rocksmith 2014 Edition,Xbox360,2013-10-22,87,7.5,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,30,46
16812,Beyblade: Evolution,3DS,2013-10-22,49,5.8,"SIMS,RisingStarGames","Action,General,General",No info,7,6
560,Rocksmith 2014 Edition,PC,2013-10-22,89,7.9,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,7,161
3817,LEGO Marvel Super Heroes,Xbox360,2013-10-22,80,7.8,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,37,147
5157,LEGO Marvel Super Heroes,PC,2013-10-22,78,8.1,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,7,170
14712,Ethan: Meteor Hunter,PC,2013-10-22,59,5.4,SeavenStudio,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,7,12
2776,LEGO Marvel Super Heroes,PlayStation3,2013-10-22,82,7.8,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,22,90
14732,How to Survive,Xbox360,2013-10-23,59,6.4,EKOSoftware,"Action Adventure,Horror,Horror,Survival",No info,18,48
14623,How to Survive,PC,2013-10-23,60,7.0,EKOSoftware,"Action Adventure,Horror,Horror,Survival",No info,19,298
13650,Defense Technica,PC,2013-10-24,63,7.7,KUNOINTERACTIVE,"Strategy,Real-Time,General,General,Defense",No info,15,19
7607,Batman: Arkham Origins,PC,2013-10-24,74,7.5,IronGalaxyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,17,1465
4252,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PC,2013-10-24,80,8.1,CyberConnect2,"Action,Fighting,Fighting,3D,3D",Online Multiplayer,7,257
14213,The Dark Eye: Demonicon,PC,2013-10-24,61,6.5,NoumenaProductions,"Role-Playing,General,General,Action RPG",No info,12,71
9120,FORCED,PC,2013-10-24,72,7.7,BetaDwarf,"Role-Playing,Action RPG,Action RPG",Online Multiplayer,25,134
3337,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013-10-24,81,8.1,Capcom,"Adventure,General,General,Visual Novel",No Online Multiplayer,63,237
10487,Enslaved: Odyssey to the West,PC,2013-10-24,70,7.6,NinjaTheory,"Action Adventure,Modern,General,Modern",No Online Multiplayer,8,269
14308,Batman: Arkham Origins Blackgate,PlayStationVita,2013-10-25,61,6.8,ArmatureStudio,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,38,128
11298,Batman: Arkham Origins Blackgate,3DS,2013-10-25,68,7.0,ArmatureStudio,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,7,54
12770,Wii Party U,WiiU,2013-10-25,65,7.0,NdCube,"Miscellaneous,Party,Party,Party / Minigame",1-4 ,38,154
13088,WRC 4: FIA World Rally Championship,PC,2013-10-25,64,6.5,MilestoneS.r.l,"Rally / Offroad,Driving,Racing,Simulation,Rally / Offroad,Automobile",No info,7,65
6793,Batman: Arkham Origins,PlayStation3,2013-10-25,76,7.8,WBGamesMontreal,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,46,827
14012,WRC 4: FIA World Rally Championship,Xbox360,2013-10-25,62,6.8,MilestoneS.r.l,"Driving,Racing,Rally / Offroad",No info,12,12
8314,Castlevania: Lords of Shadow - Mirror of Fate HD,Xbox360,2013-10-25,73,7.9,MercurySteam,"Action Adventure,Fantasy,General,Fantasy",1 Player,16,28
7718,Batman: Arkham Origins,Xbox360,2013-10-25,74,7.5,WBGamesMontreal,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,46,742
12721,Blood of the Werewolf,PC,2013-10-28,65,7.4,ScientificallyProven,"Action,Platformer,Platformer,2D,2D",No info,9,45
8945,Proteus,PlayStation3,2013-10-29,72,4.9,EdKeyandDavidKanaga,"Adventure,General,General,3D,First-Person,Fantasy",1 Player,13,53
15022,Master Reboot,PC,2013-10-29,59,6.0,WalesInteractiveLtd.,"Miscellaneous,Puzzle,General,Puzzle,General",No Online Multiplayer,13,41
16936,Regular Show: Mordecai and Rigby in 8-Bit Land,3DS,2013-10-29,48,6.9,WayForward,"Action Adventure,Fantasy,General,Fantasy",No info,15,19
15032,Pac-Man and the Ghostly Adventures,WiiU,2013-10-29,58,6.5,"NamcoBandaiGames,MonkeyBarGames","Action,Platformer,3D",No info,9,18
13542,Sonic: Lost World,WiiU,2013-10-29,63,7.2,SonicTeam,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,64,537
1342,Assassin's Creed IV: Black Flag,Xbox360,2013-10-29,86,8.0,Ubisoft,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,35,827
14976,Deadly Premonition: The Director's Cut,PC,2013-10-29,59,7.3,AccessGames,"Action Adventure,Horror,Horror,Open-World",No Online Multiplayer,7,123
781,Assassin's Creed IV: Black Flag,PlayStation3,2013-10-29,88,8.2,Ubisoft,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,36,1004
16809,Pac-Man and the Ghostly Adventures,Xbox360,2013-10-29,49,5.1,"NamcoBandaiGames,MonkeyBarGames","Action,Platformer,3D",No info,7,14
14912,Sonic: Lost World,3DS,2013-10-29,59,6.2,DimpsCorporation,"Action,Platformer,Platformer,3D,3D",1-4 ,34,170
7838,WWE 2K14,PlayStation3,2013-10-29,74,7.4,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",Up to 6 ,22,137
9452,The Typing of the Dead: Overkill,PC,2013-10-29,71,7.6,ModernDream,"Action,General,General,Arcade",No info,10,48
6897,WWE 2K14,Xbox360,2013-10-29,75,7.6,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",Up to 6 ,43,117
4779,Battlefield 4,Xbox360,2013-10-29,79,5.7,EADICE,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 24 ,21,560
3891,Battlefield 4,PlayStation3,2013-10-29,80,5.9,EADICE,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 22 ,14,618
10234,Castlevania: Lords of Shadow - Mirror of Fate HD,PlayStation3,2013-10-29,70,7.2,MercurySteam,"Action Adventure,Fantasy,General,Fantasy",1 Player,10,61
3246,Battlefield 4,PC,2013-10-29,81,6.2,EADICE,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,52,3821
5702,Proteus,PlayStationVita,2013-10-29,77,6.1,EdKeyandDavidKanaga,"Adventure,General,General,3D,First-Person,Fantasy",1 Player,7,49
1737,Football Manager 2014,PC,2013-10-30,85,5.7,SportsInteractive,"Sports,Traditional,Team,Soccer,Management,Management",No info,41,290
16162,Sniper Elite: Nazi Zombie Army 2,PC,2013-10-31,53,6.8,Rebellion,"Shooter,Historic,Action,Shooter,Third-Person,Tactical",No info,10,104
9556,Lilly Looking Through,PC,2013-11-01,71,6.7,GeetaGames,"Adventure,General,General,Point-and-Click",No info,9,41
8751,Wii Fit U,WiiU,2013-11-01,72,7.7,Nintendo,"Sports,Miscellaneous,General,Exercise / Fitness",No info,19,74
17354,Blood Knights,Xbox360,2013-11-01,43,4.9,Deck13,"Role-Playing,Action Adventure,Fantasy,General,Fantasy,Action RPG",No info,8,10
8291,Paper Sorcerer,PC,2013-11-02,73,6.7,UltraRunawayGames,"General,Role-Playing,General",No info,7,33
11094,Call of Duty: Ghosts,PC,2013-11-04,68,2.2,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,14,3500
9853,Battle Worlds: Kronos,PC,2013-11-04,71,7.0,KINGArt,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General",No info,15,72
12861,Journey of a Roach,PC,2013-11-04,65,6.9,Koboldgames,"Miscellaneous,Puzzle,General,Puzzle,General",No info,19,44
14689,Final Exam,PlayStation3,2013-11-05,60,4.9,MightyRocketStudio,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,11,7
9835,Call of Duty: Ghosts,PlayStation3,2013-11-05,71,2.7,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,10,1065
8109,Call of Duty: Ghosts,Xbox360,2013-11-05,73,2.7,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,29,2116
